"Name","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Miguel Cabrera","151","665","570","188","34","0","40","107","131","87","94","4","4","1",".330",".420",".600","1.020",".431","-5.0","-0.2","6.7","1744"
"David Wright","144","633","550","168","35","3","22","90","92","75","103","4","18","4",".305",".390",".500",".890",".384","5.0","1.4","6.9","3787"
"Adrian Beltre","147","642","587","179","33","1","29","94","98","43","77","6","1","0",".305",".355",".513",".868",".372","4.0","-0.3","5.4","639"
"Evan Longoria","148","649","570","157","34","2","31","96","100","67","132","6","5","2",".275",".354",".505",".860",".369","11.0","-0.3","6.8","9368"
"Hanley Ramirez","134","592","539","156","31","3","23","83","82","46","107","5","16","4",".289",".350",".486",".836",".362","-3.0","1.2","5.0","8001"
"Ryan Zimmerman","134","583","520","147","29","2","23","77","85","58","113","2","4","1",".283",".355",".479",".834",".362","-2.0","-0.1","4.1","4220"
"Aramis Ramirez","134","575","511","147","28","1","21","73","84","48","81","11","1","0",".288",".358",".470",".828",".361","-3.0","-0.3","3.7","1002"
"Matt Carpenter","151","687","598","179","39","6","11","106","69","73","101","8","5","2",".299",".378",".440",".818",".360","1.0","-0.5","5.3","8090"
"Josh Donaldson","152","672","592","168","34","2","21","89","87","69","119","7","5","1",".284",".363",".454",".817",".359","7.0","0.0","5.9","5038"
"Xander Bogaerts","141","579","508","142","28","4","17","70","76","58","122","8","8","4",".280",".359",".451",".810",".355","1.0","-0.5","4.3","12161"
"Pablo Sandoval","137","580","525","156","30","3","19","71","81","44","75","3","2","1",".297",".350",".474",".824",".354","2.0","-0.5","4.5","5409"
"Chase Headley","146","633","551","153","33","2","18","75","81","72","138","6","11","3",".278",".365",".443",".808",".354","6.0","0.4","5.3","4720"
"Brett Lawrie","138","587","531","149","27","6","17","68","78","45","87","9","15","4",".281",".346",".450",".796",".349","6.0","0.9","4.4","5247"
"Kyle Seager","154","674","600","162","36","2","21","80","84","63","115","7","8","2",".270",".344",".442",".786",".345","1.0","0.2","4.3","9785"
"Todd Frazier","148","613","548","140","31","4","22","74","80","51","126","10","5","1",".255",".328",".447",".775",".338","6.0","0.1","3.9","785"
"David Freese","127","527","470","130","21","1","13","57","62","48","111","7","3","2",".277",".351",".409",".760",".337","-4.0","-0.7","2.7","9549"
"Pedro Alvarez","149","633","570","137","24","2","34","85","95","57","190","3","3","1",".240",".311",".468",".780",".336","-1.0","-0.2","3.4","2495"
"Josh Satin","72","290","250","68","15","0","4","28","31","36","65","2","1","1",".272",".366",".380",".746",".334","1.0","-0.5","1.3","6788"
"Will Middlebrooks","128","514","479","125","24","1","23","65","71","29","127","3","4","1",".261",".305",".459",".765",".332","-2.0","0.0","2.2","7002"
"Manny Machado","138","616","577","163","34","5","15","79","65","33","99","3","6","2",".283",".323",".437",".760",".331","14.0","-0.1","4.4","11493"
"Chris Johnson","138","580","540","157","29","3","13","60","67","30","128","6","3","1",".291",".333",".428",".761",".331","-8.0","-0.3","2.0","1191"
"Martin Prado","155","684","628","182","34","3","12","74","67","48","62","2","6","2",".290",".339",".411",".750",".329","4.0","-0.2","3.2","3312"
"Matt Davidson","127","512","448","112","26","1","15","56","61","48","135","10","3","2",".250",".332",".413",".745",".328","-2.0","-0.6","1.9","7226"
"Nolan Arenado","148","624","575","160","35","2","17","65","73","36","83","3","4","2",".278",".319",".435",".754",".326","14.0","-0.5","3.1","9777"
"Trevor Plouffe","122","500","449","111","21","2","18","56","60","42","105","5","4","2",".247",".316",".423",".739",".325","-5.0","-0.4","1.7","7462"
"Cody Asche","128","518","473","126","23","3","13","53","57","38","115","4","5","2",".266",".324",".410",".734",".322","-2.0","-0.2","1.8","11997"
"Mark Reynolds","97","392","344","76","16","0","17","47","50","42","118","4","3","1",".221",".311",".416",".727",".321","-3.0","-0.1","0.3","7619"
"Wilmer Flores","75","308","282","77","17","1","7","29","31","19","55","2","1","1",".273",".318",".415",".733",".319","-1.0","-0.4","1.1","5827"
"Mike Moustakas","134","546","499","128","29","1","16","56","60","38","96","5","4","2",".257",".313",".415",".728",".319","6.0","-0.4","2.6","4892"
"Conor Gillaspie","111","444","394","100","15","3","11","44","48","44","69","1","1","1",".254",".327",".391",".717",".316","-2.0","-0.6","1.2","9009"
"Matt Dominguez","145","602","560","143","27","1","21","64","69","30","95","6","1","1",".255",".297",".420",".717",".313","0.0","-0.6","2.1","4903"
"Alberto Callaspo","117","459","408","105","18","0","7","43","44","46","47","1","1","0",".257",".331",".353",".684",".305","-4.0","-0.2","1.0","3336"
"Luis Valbuena","117","490","428","98","21","1","11","44","49","56","87","2","2","1",".229",".318",".360",".678",".303","6.0","-0.4","1.6","4969"
"Maicer Izturis","92","362","331","87","12","0","6","33","34","26","41","3","5","2",".263",".320",".353",".674",".301","-4.0","-0.1","0.4","2437"
"Lonnie Chisenhall","108","422","392","97","18","1","12","45","45","21","76","6","4","1",".247",".294",".390",".684",".300","-2.0","0.1","1.0","7571"
"Juan Uribe","125","506","461","115","20","1","8","39","42","35","105","6","4","0",".249",".308",".349",".658",".291","9.0","0.4","2.1","454"
"Justin Turner","56","222","205","55","8","1","1","16","17","12","35","4","1","0",".268",".320",".332",".652",".291","-1.0","0.0","0.2","5235"
"Jack Hannahan","70","274","242","58","9","1","2","21","22","29","59","2","0","0",".240",".325",".310",".635",".290","0.0","-0.3","0.3","3692"
"Jose Iglesias","146","526","491","129","23","2","4","49","44","24","89","8","12","3",".263",".306",".342",".648",".289","12.0","0.8","2.5","10231"
"Ramiro Pena","71","275","251","65","7","1","2","22","21","20","47","2","1","1",".259",".316",".319",".635",".287","2.0","-0.5","0.5","8841"
"Jeff Keppinger","84","332","315","85","12","0","4","24","26","13","28","1","0","0",".270",".298",".346",".644",".285","-1.0","-0.3","0.1","3856"
"Joaquin Arias","94","368","349","93","9","3","2","24","24","12","51","3","3","1",".266",".293",".327",".620",".272","1.0","-0.1","0.3","3817"
"Alex Rodriguez","12","51","48","11","1","0","1","3","4","2","10","1","0","0",".229",".275",".313",".587",".264","0.0","0.0","-0.1","1274"
