"Name","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Joe Mauer","146","647","558","179","40","2","14","87","86","83","98","3","4","2",".321",".410",".475",".884",".385","4.0","-0.7","5.2","1857"
"Buster Posey","136","595","520","160","33","1","18","78","83","62","80","6","4","1",".308",".383",".479",".862",".373","4.0","-0.2","6.7","9166"
"Mike Napoli","134","566","486","124","32","2","24","78","88","72","174","6","2","1",".255",".357",".477",".834",".363","3.0","-0.5","3.1","3057"
"Carlos Santana","150","645","546","146","34","2","22","80","92","90","115","3","4","2",".267",".371",".458",".828",".362","-5.0","-0.6","4.1","2396"
"Yadier Molina","134","562","516","159","32","0","14","66","74","39","55","3","4","1",".308",".358",".452",".809",".353","9.0","-0.1","5.8","7007"
"Yasmani Grandal","104","423","360","98","24","0","10","48","52","56","76","3","0","0",".272",".371",".422",".793",".350","1.0","-0.4","3.7","11368"
"Jonathan Lucroy","136","573","518","148","27","5","17","69","77","44","69","5","5","1",".286",".344",".456",".799",".348","2.0","0.1","4.6","7870"
"Brian McCann","130","550","489","129","19","0","26","74","82","55","90","3","1","0",".264",".340",".462",".802",".346","2.0","-0.3","4.3","4810"
"Jason Castro","132","570","503","137","32","2","17","64","74","59","135","2","2","1",".272",".347",".445",".793",".346","1.0","-0.5","4.5","8722"
"Salvador Perez","132","550","514","154","30","2","15","63","70","28","62","4","0","0",".300",".338",".453",".791",".344","6.0","-0.5","4.7","7304"
"John Jaso","112","473","398","108","20","1","7","47","55","68","76","4","4","1",".271",".381",".379",".760",".343","-4.0","-0.1","2.3","5887"
"Wilin Rosario","128","535","508","142","22","2","25","71","77","23","125","1","4","2",".280",".310",".478",".789",".341","-6.0","-0.4","2.1","8002"
"Evan Gattis","127","536","485","122","26","2","26","72","79","35","110","12","0","0",".252",".315",".474",".790",".341","-5.0","-0.4","3.4","11003"
"Derek Norris","101","407","351","91","17","1","12","47","51","48","91","4","5","1",".259",".351",".416",".767",".340","-1.0","0.2","3.1","6867"
"Travis d'Arnaud","126","515","460","123","26","2","14","57","61","46","98","6","1","0",".267",".340",".424",".764",".336","1.0","-0.3","3.9","7739"
"Miguel Montero","135","562","494","133","24","1","15","62","68","55","118","9","0","0",".269",".351",".413",".763",".335","0.0","-0.5","3.5","3364"
"Josmil Pinto","116","464","423","116","23","1","14","53","58","35","102","3","0","0",".274",".332",".433",".765",".335","-4.0","-0.4","2.8","6806"
"Wilson Ramos","116","467","429","117","17","1","18","57","62","34","77","2","0","0",".273",".328",".443",".771",".333","1.0","-0.4","3.2","1433"
"Alex Avila","120","484","418","106","22","2","13","53","57","60","121","2","1","0",".254",".347",".409",".756",".333","-2.0","-0.2","2.9","7476"
"Welington Castillo","126","519","466","125","28","0","12","53","57","40","117","10","2","0",".268",".337",".406",".743",".328","5.0","-0.1","3.5","3256"
