"Name","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Robinson Cano","152","667","591","181","41","2","24","91","96","63","85","8","5","1",".306",".378",".504",".882",".378","4.0","0.0","6.4","3269"
"Matt Carpenter","151","687","598","179","39","6","11","106","69","73","101","8","5","2",".299",".378",".440",".818",".360","1.0","-0.5","5.3","8090"
"Chase Utley","132","583","506","141","25","6","18","76","74","57","76","14","8","1",".279",".364",".459",".822",".358","4.0","0.7","4.5","1679"
"Jason Kipnis","154","685","595","165","35","8","19","96","84","77","133","5","32","5",".277",".361",".459",".819",".357","-1.0","3.8","5.5","9776"
"Dustin Pedroia","153","684","605","181","40","3","14","95","78","69","70","3","17","4",".299",".370",".445",".815",".356","10.0","1.2","5.7","8370"
"Anthony Rendon","132","541","475","134","29","4","13","61","66","50","89","9","5","1",".282",".357",".442",".799",".350","0.0","0.1","3.5","12861"
"Jedd Gyorko","144","612","556","150","33","1","25","78","88","49","125","3","5","1",".270",".330",".468",".798",".347","-1.0","0.1","4.0","10816"
"Aaron Hill","138","609","555","157","33","4","17","71","71","44","75","6","8","2",".283",".340",".449",".789",".343","0.0","0.3","3.2","6104"
"Neil Walker","136","595","524","143","30","3","16","67","70","58","96","7","5","2",".273",".350",".433",".783",".342","-1.0","-0.3","3.5","7539"
"Ben Zobrist","156","697","609","165","37","5","15","92","75","78","99","4","15","4",".271",".354",".422",".776",".341","8.0","0.8","5.4","7435"
"Nick Franklin","100","398","353","92","18","4","10","45","48","42","81","1","8","1",".261",".339",".419",".758",".334","-2.0","0.9","1.9","10166"
"Jurickson Profar","145","583","517","139","26","5","13","61","67","53","104","8","14","4",".269",".343",".414",".757",".333","2.0","0.7","3.0","10815"
"Ian Kinsler","150","676","606","163","34","4","15","92","69","57","70","8","19","5",".269",".337",".413",".750",".331","1.0","1.3","3.4","6195"
"Howie Kendrick","137","585","550","160","27","4","12","55","65","25","105","7","9","3",".291",".328",".420",".748",".327","3.0","0.1","3.3","4229"
"Dustin Ackley","133","552","492","132","24","4","10","53","58","57","88","1","9","2",".268",".344",".394",".739",".326","-3.0","0.5","1.9","10099"
"Daniel Murphy","152","681","641","187","39","3","11","80","63","34","87","2","17","4",".292",".327",".413",".741",".324","-5.0","1.3","2.7","4316"
"Dan Uggla","109","434","366","80","14","1","15","50","54","60","127","6","2","1",".219",".336",".385",".722",".323","-5.0","-0.4","1.3","3442"
"Scooter Gennett","132","561","526","153","21","4","11","53","60","28","93","3","12","4",".291",".328",".409",".737",".323","1.0","0.4","2.4","10339"
"Josh Rutledge","110","464","422","112","20","4","10","45","51","32","81","8","12","2",".265",".328",".403",".730",".323","-2.0","1.2","1.0","11167"
"Brian Dozier","143","623","560","144","29","5","14","60","64","51","111","7","14","4",".257",".324",".402",".726",".320","1.0","0.7","2.7","9810"
"Gordon Beckham","147","592","539","144","30","0","13","58","63","41","89","9","5","2",".267",".328",".395",".723",".320","2.0","-0.3","2.3","9015"
"Brandon Phillips","148","647","597","163","28","2","17","66","68","36","89","8","9","3",".273",".320",".412",".732",".319","8.0","0.1","3.2","791"
"Kelly Johnson","122","486","435","103","17","3","18","56","60","45","123","4","8","2",".237",".313",".414",".727",".319","-2.0","0.4","1.6","2234"
"Jonathan Schoop","64","246","224","58","8","1","7","29","29","16","45","4","2","1",".259",".317",".397",".714",".316","-1.0","-0.2","0.7","11265"
"Jose Altuve","153","690","641","186","30","5","7","77","56","39","80","4","35","10",".290",".332",".385",".717",".316","-2.0","2.5","2.7","5417"
"Marco Scutaro","129","563","518","149","26","2","3","42","45","38","35","2","4","1",".288",".336",".363",".699",".311","-3.0","-0.1","1.8","1555"
"Omar Infante","132","575","544","153","25","6","9","48","53","25","58","1","8","2",".281",".311",".399",".710",".310","3.0","0.4","2.1","1609"
"Kolten Wong","118","471","432","116","18","5","6","39","43","30","75","5","17","4",".269",".321",".375",".696",".306","4.0","1.4","2.0","12532"
"Logan Forsythe","90","354","318","80","12","3","6","34","35","27","69","7","8","2",".252",".322",".365",".687",".306","-2.0","0.5","1.0","7185"
"DJ LeMahieu","109","448","419","122","19","4","1","30","33","22","67","2","16","5",".291",".326",".363",".689",".304","5.0","0.9","1.0","9874"
"Tony Abreu","63","247","231","63","12","2","3","22","22","10","49","3","1","0",".273",".308",".381",".689",".301","-2.0","0.0","0.5","5053"
"Maicer Izturis","92","362","331","87","12","0","6","33","34","26","41","3","5","2",".263",".320",".353",".674",".301","-4.0","-0.1","0.4","2437"
"Josh Harrison","65","260","243","64","7","2","4","21","23","11","29","5","3","1",".263",".308",".358",".666",".296","-1.0","0.0","0.5","8202"
"Ryan Flaherty","108","411","377","90","14","2","11","44","43","29","89","3","4","2",".239",".297",".374",".671",".296","4.0","-0.3","1.1","7888"
"Emilio Bonifacio","109","408","372","97","13","3","1","33","31","33","87","1","26","5",".261",".321",".320",".641",".288","0.0","2.9","0.8","4054"
"Brian Roberts","82","321","295","71","13","1","7","28","29","22","49","0","3","1",".241",".290",".363",".652",".288","-1.0","0.0","0.2","166"
"Danny Espinosa","66","253","232","52","13","1","6","25","24","14","72","6","5","1",".224",".285",".366",".651",".288","4.0","0.4","0.8","9219"
"Jeff Keppinger","84","332","315","85","12","0","4","24","26","13","28","1","0","0",".270",".298",".346",".644",".285","-1.0","-0.3","0.1","3856"
"Eric Sogard","105","384","357","92","16","2","2","32","29","22","51","3","9","2",".258",".305",".331",".635",".283","4.0","0.7","1.0","7927"
"Steve Lombardozzi","62","240","226","59","9","2","1","17","17","11","29","2","3","1",".261",".300",".332",".632",".280","0.0","0.0","0.1","5422"
"Darwin Barney","131","512","475","117","19","3","5","38","38","29","58","5","4","1",".246",".295",".331",".625",".278","11.0","0.0","1.1","2430"
"Ryan Goins","94","345","323","80","13","1","4","29","26","19","74","0","4","2",".248",".287",".331",".618",".275","6.0","-0.3","0.6","9807"
"Daniel Descalso","85","336","312","78","11","2","2","20","22","19","56","3","4","1",".250",".298",".317",".615",".271","-2.0","0.1","-0.2","8392"
