"Name","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Troy Tulowitzki","135","589","520","159","32","2","27","91","97","60","85","4","5","1",".306",".379",".531",".909",".390","5.0","0.1","5.7","3531"
"Hanley Ramirez","134","592","539","156","31","3","23","83","82","46","107","5","16","4",".289",".350",".486",".836",".362","-3.0","1.2","5.0","8001"
"Xander Bogaerts","141","579","508","142","28","4","17","70","76","58","122","8","8","4",".280",".359",".451",".810",".355","1.0","-0.5","4.3","12161"
"Ian Desmond","152","644","593","170","34","4","22","79","89","43","136","4","24","6",".287",".337",".469",".806",".350","4.0","2.0","5.3","6885"
"Jose Reyes","135","619","568","169","27","9","12","91","56","47","59","0","29","6",".298",".349",".440",".789",".342","-2.0","2.9","4.0","1736"
"Brad Miller","145","638","573","159","27","7","16","71","72","57","99","2","14","4",".277",".342",".433",".775",".339","-1.0","0.7","4.0","12775"
"Jed Lowrie","136","597","539","151","33","2","14","64","66","50","89","3","4","1",".280",".342",".427",".768",".337","-3.0","-0.1","3.6","4418"
"Jordy Mercer","126","506","459","128","28","3","11","53","58","35","88","8","7","3",".279",".338",".425",".763",".334","-1.0","-0.2","3.0","6547"
"Javier Baez","45","187","170","44","8","2","7","22","24","11","52","4","6","1",".259",".316",".453",".768",".333","0.0","0.7","1.0","sa597757"
"Jhonny Peralta","140","578","532","149","32","2","14","60","65","39","113","2","4","3",".280",".329",".427",".755",".330","3.0","-0.8","3.6","1738"
"Stephen Drew","133","543","482","123","27","6","12","54","58","56","128","1","4","1",".255",".331",".411",".742",".326","3.0","0.0","3.1","4251"
"Asdrubal Cabrera","140","592","540","143","33","2","15","59","67","40","112","8","11","3",".265",".323",".417",".739",".324","-7.0","0.6","2.6","4962"
"Josh Rutledge","110","464","422","112","20","4","10","45","51","32","81","8","12","2",".265",".328",".403",".730",".323","-2.0","1.2","1.0","11167"
"Jean Segura","152","689","642","183","24","10","12","87","61","36","90","7","42","10",".285",".328",".410",".738",".322","0.0","3.9","3.6","5933"
"Andrelton Simmons","154","635","579","155","29","6","14","62","67","45","59","5","10","4",".268",".323",".411",".734",".321","18.0","-0.1","5.1","10847"
"Brian Dozier","143","623","560","144","29","5","14","60","64","51","111","7","14","4",".257",".324",".402",".726",".320","1.0","0.7","2.7","9810"
"Starlin Castro","155","699","660","187","32","8","12","86","63","32","108","4","17","6",".283",".319",".411",".730",".319","-1.0","0.5","2.8","4579"
"Derek Jeter","123","546","495","139","22","1","7","57","48","43","73","5","6","2",".281",".342",".372",".714",".319","-11.0","-0.1","1.2","826"
"Everth Cabrera","140","642","572","155","27","6","4","75","44","66","111","3","55","9",".271",".349",".360",".709",".318","-1.0","6.9","3.8","8155"
"Elvis Andrus","156","682","623","175","27","6","4","53","56","51","83","5","38","9",".281",".339",".363",".701",".313","6.0","3.5","3.4","8709"
"J.J. Hardy","152","627","590","153","26","1","22","66","71","32","87","2","2","1",".259",".298",".419",".717",".312","6.0","-0.5","3.0","3797"
"Erick Aybar","135","563","532","148","30","6","6","45","51","23","61","5","18","4",".278",".313",".391",".704",".308","2.0","1.6","2.9","4082"
"Jonathan Villar","120","470","418","105","20","6","5","44","44","45","125","4","37","8",".251",".328",".364",".691",".308","-6.0","3.9","1.7","10071"
"Yunel Escobar","152","607","545","142","23","2","9","51","57","54","73","4","5","2",".261",".329",".360",".689",".308","6.0","-0.3","3.3","4191"
"Eduardo Nunez","94","364","334","90","16","3","5","35","35","25","53","1","19","3",".269",".319",".380",".699",".306","-5.0","2.3","0.7","6848"
"Jimmy Rollins","144","636","578","147","29","3","11","57","55","54","89","1","20","4",".254",".318",".372",".690",".304","0.0","1.9","2.2","971"
"Alexei Ramirez","156","661","623","169","33","3","10","53","60","30","75","4","21","6",".271",".307",".382",".689",".302","7.0","1.4","2.8","5133"
"Zack Cozart","150","591","555","141","32","3","14","57","59","28","97","3","4","1",".254",".291",".398",".689",".301","8.0","0.0","2.6","2616"
"Maicer Izturis","92","362","331","87","12","0","6","33","34","26","41","3","5","2",".263",".320",".353",".674",".301","-4.0","-0.1","0.4","2437"
"Ruben Tejada","130","523","476","126","27","2","2","36","40","37","63","7","6","2",".265",".325",".342",".667",".299","1.0","0.0","1.9","5519"
"Brandon Crawford","138","547","500","127","21","4","8","46","49","41","99","3","4","2",".254",".313",".360",".673",".296","7.0","-0.4","2.6","5343"
"Didi Gregorius","112","439","401","100","15","5","6","38","38","32","71","3","2","1",".249",".308",".357",".664",".293","2.0","-0.4","1.0","6012"
"Tyler Pastornicky","71","279","261","71","8","2","2","21","22","15","43","1","6","2",".272",".312",".341",".653",".289","-2.0","0.2","0.2","6777"
"Jose Iglesias","146","526","491","129","23","2","4","49","44","24","89","8","12","3",".263",".306",".342",".648",".289","12.0","0.8","2.5","10231"
"Alcides Escobar","147","540","511","131","22","6","5","48","44","23","75","4","26","4",".256",".293",".352",".645",".284","9.0","3.2","2.3","6310"
"Adeiny Hechavarria","145","565","530","134","19","7","6","44","44","30","102","1","13","5",".253",".292",".349",".641",".283","0.0","0.2","0.8","10459"
"Munenori Kawasaki","70","255","225","52","4","3","1","20","18","25","35","3","5","1",".231",".314",".289",".603",".277","1.0","0.4","0.3","13047"
"Pedro Florimon","134","493","451","105","19","2","5","40","37","37","116","3","13","5",".233",".294",".317",".611",".274","5.0","0.3","1.1","8385"
